"WMLB e WMHT"," "
"WMLB207","WMHT207","Operation start date","Início da operação","","","operation_start_date","DateField","","station/models.py"
"WMLB208","WMHT208","Operation end date","Fim da operação","","","operation_end_date","DateField","","station/models.py"
"WMLB209","WMHT209","Operation status","Status de operação","Current status of the operation of the station","Status da operação da estação","status","ForeignKey","","station/models.py"
"WMLB210","WMHT210","Country","País","Country where the station is installed","País onde a estação está instalada","country","ForeignKey","","station/models.py"
"WMLB211","WMHT211","Location","Localização","Location of the station inside of the Administrative region","Localização da estação dentro da região administrativa","location","ForeignKey","","station/models.py"
"WMLB212","WMHT212","Comments","Observação","Comments about the station","Observações a respeito da estação","comments","CharField","","station/models.py"
"WMLB213","WMHT213","Images","Imagens","","","images","ManyToManyField","","station/models.py"
"WMLB214","WMHT214","Organization","Instituição","Institution or weather organization","Instituição ou organização de meteorologia","organization","ManyToManyField","","station/models.py"
"WMLB215","WMHT215","White list","Lista branca","","","white_list","ForeignKey","","station/models.py"
"WMLB216","WMHT216","Black list","Lista negra","","","black_list","ForeignKey","","station/models.py"
"WMLB217","WMHT217","Regex","Regex","","","regex","CharField","","station/models.py"
"WMLB218","WMHT218","Station decoder","Decodificador de estações","","","station_decoder","ForeignKey","","station/models.py"
"WMLB219","WMHT219","Deslocamento de fuso horário","TZ Offset","","","tz_offset","IntegerField","","station/models.py"
"WMLB220","WMHT220","Value","Valor","","","*_value","","","common/models.py"
"WMLB221","WMHT221","Powerplant tag","Etiqueta da usina","","","","HTML","","cemig/template/cemig/content-management-powerplant-form.html"
"WMLB222","WMHT222","Eletrobrás code","Código eletrobrás","","","","HTML","","cemig/template/cemig/content-management-powerplant-form.html"
"WMLB223","WMHT223","Element's name","Nome do elemento","","","","HTML","","common/content-management-new-element.htm"
"WMLB224","WMHT224","Type of element's data","Tipo de valor do elemento","","","","HTML","","common/content-management-new-element.htm"
"WMLB225","WMHT225","Reference time","Horário de referência","","","","HTML","","common/content-management-new-element.htm"
"WMLB226","WMHT226","Max length to present","Limite para apresentação resumida","","","","HTML","","common/content-management-new-element.htm"
"WMLB227","WMHT227","Values' type","Tipo de valores","","","","HTML","","common/content-management-new-element.htm"
"WMLB228","WMHT228","Lower bound","Limite inferior","","","","HTML","","common/content-management-new-element.htm"
"WMLB229","WMHT229","Upper bound","Limite superior","","","","HTML","","common/content-management-new-element.htm"
"WMLB230","WMHT230","Number of decimal places for presenting","Número de casas decimais para apresentação","Decimal places that will be displayed for this element","Número de casas decimais que serão mostradas para este elemento","","HTML","","common/content-management-new-element.htm"
"WMLB231","WMHT231","WMO table","Tabela WMO","","","","HTML","","common/content-management-new-element.htm"
"WMLB232","WMHT232","Element reference","Elemento de referência","","","","HTML","","common/content-management-new-element.htm"
"WMLB233","WMHT233","Active","Ativo","","","active","BooleanField","","hydro/models.py (class ReservoirComponentDischarge)"
"WMLB234","WMHT234","Old password","Senha antiga","","","","HTML","","common/content-user-password.html"
"WMLB235","WMHT235","New password","Senha nova","","","","HTML","","common/content-user-password.html"
"WMLB236","WMHT236","Confirm password","Confirmar senha","","","","HTML","","common/content-user-password.html"
"WMLB237","WMHT237","Elements","Elementos","","","","","","station/content-chart-station-elements.html"
"WMLB238","WMHT238","SVG type","Tipo de SVG","SVG type","Tipo de SVG","type","Foreign Key","Campo com o tipo de SVG","common/models.py - class SVG"
"WMLB239","WMHT239","Initial date and time","Data e hora inicial","Start date and time of the interval for the chart","Data e hora inicial para consulta de gráfico","","HTML","","station/templates/station"
"WMLB240","WMHT240","End date and time","Data e hora final","End date and time of the interval for the chart","Data e hora final para consulta de gráfico","","HTML","","station/templates/station"
"WMLB241","WMHT241","Minimum number of measurements for the graphic","Número mínimo de medidas para gráfico","","","","","",""
"WMLB242","WMHT242","Minimum number of measurements to notify delay","Número mínimo de medidas para atraso","","","","","",""
"WMLB243","WMHT243","Station name","Nome da estação","Inform the station name","Informe o nome da estação","","","",""
"WMLB244","WMHT244","Nickname / user tag","Apelido","Nickname of the station","Apelido pelo qual a estação é conhecida","","","",""
"WMLB245","WMHT245","Station code","Código de estação","","","","","",""
"WMLB246","WMHT246","Input in decimal","Entrada em decimal","Enter data in decimal format","Entrada de dados em formato decimal","","","",""
"WMLB247","WMHT247","Input in DMS","Entrada em DMS","Enter data in degrees, minutes and seconds","Entrada de dados em graus, minutos e segundos","","","",""
"WMLB248","WMHT248","Layout","Layout","Select the layout of the report. You can select among select elements grouped by stations. You also can select group stations by element of these stations.","Selecione o formato do relatório. Você pode selecionar entre selecionar os elementos agrupados por estação ou estações. Você também pode selecionar agrupar estações pelos elementos destas estações.","","","",""
"WMLB249","WMHT249","Interval","Intervalo","","","","JS","Título de coluna de relatório de extremos","station/static/station/js/cdms-ExtremesApp.js"
"WMLB250","WMHT250","Voltage","Voltagem","Voltage (kV)","Voltagem em kV","voltage"," FloatField","Voltagem nas linhas de transmissão.","ampacity/models.py"
"WMLB251","WMHT251","Short name","Nome curto","Transmission line name to be used in tables and calculations","Nome da linha de transmissão para ser usado nas tabelas e cálculos","short_name","CharField","Nome da linha de transmissão para ser usado nas tabelas e cálculos","ampacity/models.py"
"WMLB252","WMHT252","Origin","Origem (ponto de partida)","Point name of stretch origin","Nome do ponto de origem do trecho","origin","CharField","Nome do ponto de origem de determinado trecho","ampacity/models.py"
"WMLB253","WMHT253","Destination","Destino","Point name of stretch destination","Nome do ponto de destino do trecho","destination","CharField","Ponto de chegadado trecho","ampacity/models.py"
"WMLB254","WMHT254","Stretch code","Código do trecho","Stretch code","Código do trecho","code","CharField","Código do Trecho","ampacity/models.py"
"WMLB255","WMHT255","Transmission Line code","Código","Transmission Line code","Código da linha de transmissão","code","CharField","Código da linha de transmissão","ampacity/models.py"
"WMLB256","WMHT256","Transmission line key","Chave apara linha de transmissão","Select a transmission line of a stretch.","Selecione uma linha de transmissão para o trecho.","transmission_line","ForeignKey","Cada trecho tem um id da linha de transmissão.","ampacity/models.py"
"WMLB257","WMHT257","Circuit number","Número do circuito","Circuit code","Código do circuito","circuit_number","CharField","Código do Circuito","ampacity/models.py"
"WMLB258","WMHT258","FTP file ","Arquivo FTP","Transmission line used in the FTP file","Código da linha de transmissão usado no arquivo FTP ","code_ftp_file","CharField"," Código da linha de transmissão usado no arquivo ftp ","ampacity/models.py"
"WMLB259","WMHT259","Operation voltage","Tensão de operação","Operation voltage","Tensão de operação","operation_voltage","FloatField","Tensão de operação","ampacity/models.py"
"WMLB260","WMHT260","Insulation voltage ","Tensão de isolamento","Insulation voltage ","Tensão de isolamento","insulation_voltage ","FloatField","Tensão de Isolamento","ampacity/models.py"
"WMLB261","WMHT261","Length stretch","Comprimento do trecho","Length stretch","Comprimento do trecho","line_length","FloatField","Comprimento do trecho","ampacity/models.py"
"WMLB262","WMHT262","Project temperature","Temperatura de projeto ","Design temperature","Temperatura do projeto","design_temperature ","FloatField","Temperatura do projeto","ampacity/models.py"
"WMLB263","WMHT263","Emergency temperature","Temperatura de emergência","Emergency temperature","Temperatura de emergência","Emergency_temperature","FloatField","","ampacity/models.py"
"WMLB264","WMHT264","Cables per phase","Cabos por fase","Cables per phase","Cabos por fase","cables_per_phase","IntergerField","Cabos por fase","ampacity/models.py"
"WMLB265","WMHT265","Gauge ","Bitola ","Gauge AWG/MCM","Bitola AWG/MCM","gauge","CharField","","ampacity/models.py"
"WMLB266","WMHT266","Remove styles","Remover estilos","If checked, all styles applied to SVG will be removed","Se marcado, todos os estilos aplicados no SVG serão removidos.","remove_style","BooleanField","Texto de ajuda para informar que se o checkbox estiver marcado, todos os estilos aplicados serão removidos.","common/forms.py"
"WMLB267","WMHT267","Nominal area  aluminum","Área nominal do alumínio","Nominal area aluminum","Área nominal do alumínio","nominal_area_aluminum","FloatField","","ampacity/models.py"
"WMLB268","WMHT268","Nominal area  steel","Área nominal do aço","Nominal area  steel","Área nominal do aço","nominal_area_steel","FloatField","","ampacity/models.py"
"WMLB269","WMHT269","Total nominal area","Área nominal total","Total nominal area","Área nominal total","nominal_area_total","FloatField","","ampacity/models.py"
"WMLB270","WMHT270","Copper area equivalent","Área de cobre equivalente","Copper area equivalent","Área de cobre equivalente","copper_equivalent_area","FloatField","","ampacity/models.py"
"WMLB271","WMHT271","Number of aluminium wires","Número de fios de alumínio ","Stringing number of aluminium wires","Encordoamento do número de fios de alumínio ","aluminum_number_of_wires","IntegerField","","ampacity/models.py"
"WMLB272","WMHT272","Diameter stringing  aluminum","Diâmetro do encordoamento do alumínio ","Diameter stringing aluminum","Diâmetro do encordoamento do alumínio ","aluminum_diameter","FloatField","","ampacity/models.py"
"WMLB273","WMHT273","Number of steel wires","Número de fios de aço","Stringing number of steel wires ","Encordoamento número de fios de aço","steel_number_of_wires","IntegerField","","ampacity/models.py"
"WMLB274","WMHT274","Diameter stringing copper","Diâmetro do encordoamento de aço","Diameter stringing cooper","Diâmetro do encordoamento do aço","steel_diameter","FloatField","","ampacity/models.py"
"WMLB275","WMHT275","Nominal diameter of the cable","Diâmetro nominal do cabo","Nominal diameter of the cable","Diâmetro nominal do cabo","nominal_diameter","FloatField","","ampacity/models.py"
"WMLB276","WMHT276","Nominal weight of cable ","Peso nominal do cabo","Nominal weight of cable kg / km","Peso nominal do cabo kg/km","nominal_weight","FloatField","","ampacity/models.py"
"WMLB277","WMHT277","Breaking load ","Carga de ruptura","Breaking load kgf","Carga de ruptura kgf","break_load","FloatField","","ampacity/models.py"
"WMLB278","WMHT278","Resistance ","Resistência"," Ω / km - CC 20 ° C","Ω/km - CC 20°C","cc_20_degrees","FloatField","","ampacity/models.py"
"WMLB279","WMHT279","Resistance ","Resistência","Ω / k - α20","Ω/km - α20","alpha_20","FloatField","","ampacity/models.py"
"WMLB280","WMHT280","Resistance","Resistência","Ω / km - ρ20"," Ω / km - ρ20","rho_20","FloatField","","ampacity/models.py"
"WMLB281","WMHT281","Resistance ","Resistência","Ω / km - k"," Ω / km - k","k","FloatField","","ampacity/models.py"
"WMLB282","WMHT282","Transmission line status ","Status da linha de transmissão","Transmission line status Active / inactive","Status da linha de transmissão Ativo / inativo","is_active","BooleanField","","ampacity/models.py"
"WMLB283","WMHT283","Voltage","Cada voltagem está ligada a uma linha de transmissão.","Select a voltage to the transmission line.","Selecione uma voltagem para a linha de transmissão.","voltage","ForeignKey","Chave estrangeira para voltagem na class TransmissionLine","ampacity/models.py"
"WMLB284","WMHT284","Stretch Parameters","Parâmetro do trecho","","","stretch","OneToOneField","Chave um pra um em que cada parâmetro do trecho está linkado a um trecho.","ampacity/models.py"
"WMLB285","WMHT285","Cable","Cabo","","","cable","ForeignKey","Chave estrangeira para cabo na class ParameterStretch","ampacity/models.py"
"WMLB286","WMHT286","Disconnector","Chave seccionadora","Disconnector","Chave seccionadora","disconnector","FloatField","As chaves seccionadoras, também chamas de interruptores de desconexão, são usadas em uma grande variedade de configurações, e são empregadas como dispositivos de segurança que desenergizam circuitos para que as pessoas possam trabalhar com eles de forma segura.","ampacity/models.py"
"WMLB287","WMHT287","Circuit breaker","Disjuntor","Circuit breaker","Disjuntor","circuit_braeker","FloatField","Um disjuntor é um dispositivo eletromecânico, que funciona como um interruptor automático, destinado a proteger uma determinada instalação elétrica contra possíveis danos causados por curto-circuitos e sobrecargas elétricas.","ampacity/models.py"
"WMLB288","WMHT288","Linetrap","Bobinas de bloqueio","Linetrap","Bobina de bloqueio","Linetrap","FloatField","As bobinas de bloqueio servem para dirigir os sinais de comunicação de alta frequência pelas linhas desejadas, bloqueando as demais linhas para evitar perdas de sinal.","ampacity/models.py"
"WMLB289","WMHT289","Current transformer","Transformador de corrente","Current transformer","Transformador de corrente","current_transformer","FloatField","","ampacity/models.py"
"WMLB290","WMHT290","Thermal factor","Fator de temperatura","Thermal factor","Fator de temperatura","thermal_factor","FloatField","","ampacity/models.py"
"WMLB291","WMHT291","Stretch","Chave estrangeira para trechos","Select a stretch","Selecione um trecho","stretch","OneToOneField","Cada limitação operacional tem um id do trecho","ampacity/models.py"
"WMLB292","WMHT292","Transmission Line","Linha de Transmissão","Select a transmission line.","Selecione uma linha de transmissão.","","","Tela estimated","ampacity/templates/content-estimated-ampacity.html"
"WMLB293","WMHT293","ξ","ξ","The inclination of axis of conductor in relation to horizontal","Inclinação do eixo do condutor em relação à horizontal.","","HTML","Tela estimated","ampacity/templates/content-estimated-ampacity.html"
"WMLB294","WMHT294","αs","αs","Solar absorption coefficient","Coeficiente de absorção solar.","","HTML","Tela estimated","ampacity/templates/content-estimated-ampacity.html"
"WMLB295","WMHT295","Diagram","Diagrama","Select a diagram","Selecione um diagrama","","HTML","Campo onde o usuário seleciona um diagrama","content-diagram-sin.html"
"WMLB296","WMHT296","Wind","Vento","m/s","m/s","","HTML","","ampacity/templates/content-estimated-ampacity.html"
"WMLB297","WMHT297","Date","Data","Date and time that lightning was detected","Data e hora que a descarga foi detectada","","","Data e hora da descarga",""
"WMLB298","WMHT298","Estimated peak","Pico estimado","Estimated peak","Pico estimado da descarga","","","",""
"WMLB299","WMHT299","Flash multiplicity","Multiplicidade da centelha","","","","","",""
"WMLB300","WMHT300","Sensors","Sensores","","","","","",""
"WMLB301","WMHT301","Degrees","Graus","","","","","",""
"WMLB302","WMHT302","Realtime lighting","Raios em tempo real","","","","","",""
"WMLB303","WMHT303","Lightning HeatMap","Raios HeatMap","","","","","",""
"WMLB304","WMHT304","Lightning","Raio","","","","","",""
"WMLB305","WMHT305","Daily basis","Diário","If the data or value of the element is measured or collected once a day, you must check it as daily basis. However, if the data or value of the element is measured or collected several times during the day, it must be let unchecked.","Se o dado ou valor do elemento é medido ou coletado uma vez ao dia, deve-se marcar como diário. Se o dado ou valor do elemento é medido ou coletado várias vezes ao dia, deve-se deixar desmarcado.","","","",""
"WMLB306","WMHT306","Only positive values","Apenas valores positivos","Only positive values are allowed","Apenas valores positivos são permitidos","","","",""
"WMLB307","WMHT307","Positive and negative values","Valores positivos e negativos","Any type of value is allowed","Valores positivos e negativos são permitidos","","","",""
"WMLB308","WMHT308","Include","Incluir","","","","","",""
"WMLB309","WMHT309","Reservoir","Reservatório","Select a reservoir","Selecione um reservatório","","HTML","Campo onde o usuário seleciona um reservatório para seleção de um diagrama de operação","content-diagram-operation.html"
"WMLB310","WMHT310","Initial latitude","Latitude inicial","Initial latitude","Latitude inicial","","HTML","Campo de Latitude Inicial","lightning/templates/lightning/content-lightning-report.html"
"WMLB311","WMHT311","Final latitude","Latitude final","Final latitude","Latitude final","","HTML","Campo de Latitude Final","lightning/templates/lightning/content-lightning-report.html"
"WMLB312","WMHT312","Initial longitude","Longitude inicial","Initial longitude","Longitude inicial","","HTML","Campo de Latitude Inicial","lightning/templates/lightning/content-lightning-report.html"
"WMLB313","WMHT313","Final longitude","Longitude final","Final longitude","Longitude final","","HTML","Campo de Latitude Final","lightning/templates/lightning/content-lightning-report.html"
"WMLB314","WMHT314","Axis name X","Nome do eixo X","Name of the axis X of the chart","Nome do eixo X no gráfico","axis_name_x","TextField","","hydro/models.py"
"WMLB315","WMHT315","Axis name Y","Nome do eixo Y","Name of the axis Y of the chart","Nome do eixo Y no gráfico","axis_name_y","TextField","","hydro/models.py"
"WMLB316","WMHT316","Operation point X","Ponto de operação X","Coordinate X of the operation point","Coordenada X do ponto de operação","operation_point_x","DecimalField","","hydro/models.py"
"WMLB317","WMHT317","Operation point Y","Ponto de operação Y","Coordinate Y of the operation point","Coordenada Y do ponto de operação","operation_point_y","DecimalField","","hydro/models.py"
"WMLB318","WMHT318","Alert point X","Ponto de alerta X","Coordinate X of the alert point","Coordenada X do ponto de alerta","alert_point_x","DecimalField","","hydro/models.py"
"WMLB319","WMHT319","Alert point Y","Ponto de alerta Y","Coordinate Y of the alert point","Coordenada Y do ponto de alerta","alert_point_y","DecimalField","","hydro/models.py"
"WMLB320","WMHT320","Description of the region","Descrição da região","Descriptive text about the region","Texto descritivo sobre a região","description_region","TextField","","hydro/models.py"
"WMLB321","WMHT321","Description of the decision","Descrição da decisão","Descriptive text about the decision","Texto descritivo sobre a decisão","description_decision","TextField","","hydro/models.py"
"WMLB322","WMHT322","X coordinate at the left side","Coordenada X (lado esquerdo)","X (left side) coordinate for a region","Coordenada X (esquerda) para uma região","coord_x_left","DecimalField","","hydro/models.py"
"WMLB323","WMHT323","X coordinate ar the right side","Coordenada X (lado direito)","X (right side) coordinate for a region","Coordenada X (direita) para uma região","coord_x_right","DecimalField","","hydro/models.py"
"WMLB324","WMHT324","Y superior coordinate","Coordenada Y superior","Y superior coordinate for a region","Coordenada Y superior para uma região","coord_y_top","DecimalField","","hydro/models.py"
"WMLB325","WMHT325","X inferior coordinate","Coordenada Y inferior","Y inferior coordinate for a region","Coordenada Y inferior para uma região","coord_y_bottom","DecimalField","","hydro/models.py"
"WMML e WMLP"," common/models.py (class UserExtend)"
"Código WMML","Código WMLP","WMML EN","WMML PT","WMLP EN","WMLP PT","Nome do Campo","Tipo do Campo","Contexto","Local de Uso"
"WMML1","WMLP1","Dashboard component","Componente gráfico de dashboard","Dashboard components","Componentes gráficos de dashboard","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class DashboardComponent)"
"WMML2","WMLP2","Document","Documento","Documents","Documentos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (Document)"
"WMML3","WMLP3","SVG","SVG","SVG's","SVG's","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class SVG)"
"WMML4","WMLP4","Image","Imagem","Images","Imagens","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Image)"
"WMML5","WMLP5","Physical quantity","Quantidade física","Physical quantities","Quantidades físicas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class PhysicalQuantity)"
"WMML6","WMLP6","Unit of measurement","Unidade de medida","Units of measurement","Unidades de medida","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Unit)"
"WMML7","WMLP7","Variable","Variável","Variables","Variáveis","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Variable)"
"WMML8","WMLP8","Description","Descrição","Descriptions","Descrições","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class DataSource)"
"WMML9","WMLP9","Operation","Operação","Operations","Operações","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Operation)"
"WMML10","WMLP10","Timescale","Escala de tempo","Timescales","Escalas de tempo","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Timescale)"
"WMML11","WMLP11","WMO table","Tabela WMO","WMO tables","Tabelas WMO","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class WMOTable)"
"WMML12","WMLP12","WMO code","Código WMO","WMO codes","Códigos WMO","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class WMOCode)"
"WMML13","WMLP13","Element","Elemento","Elements","Elementos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Element)"
"WMML14","WMLP14","Integer element","Elemento de número inteiro","Integer elements","Elementos de número inteiro","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class IntegerElement)"
"WMML15","WMLP15","Floating point element","Elemento de ponto flutuante","Floating point elements","Elementos de ponto flutuante","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class FloatElement)"
"WMML16","WMLP16","Boolean element","Elemento booleano","Boolean elements","Elementos booleanos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class BooleanElement)"
"WMML17","WMLP17","Code element","Elemento de código","Code elements","Elementos de código","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class CodeElement)"
"WMML18","WMLP18","Alphanumeric element","Elemento alfanumérico","Alphanumeric elements","Elementos alfanuméricos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class AlphanumericElement)"
"WMML19","WMLP19","Date and time element","Elemento de data e hora","Date and time elements","Elementos de data e hora","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class DateTimeElement)"
"WMML20","WMLP20","Time element","Elemento de hora","Time elements","Elementos de hora","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class TimeElement)"
"WMML21","WMLP21","Organization","Instituição","Organizations","Instituições","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Organization)"
"WMML22","WMLP22","Time resolution","Resolução temporal","Time resolutions","Resoluções temporais","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class TimeResolution)"
"WMML23","WMLP23","Unit conversion","Conversão de unidade","Unit conversions","Conversões de unidade","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class UnitConversion)"
"WMML24","WMLP24","Operational status","Estado de operação","Operational statuses","Estados de operação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class OperationalStatus)"
"WMML25","WMLP25","River","Rio","Rivers","Rios","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class River)"
"WMML26","WMLP26","Watershed","Bacia hidrográfica","Watersheds","Bacias hidrográficas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Watershed)"
"WMML27","WMLP27","Element dictionary","Dicionário de elementos","Element dictionaries","Dicionários de elementos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class ElementDictionary)"
"WMML28","WMLP28","Element dictionary entry","Entrada de dicionário de elementos","Element dictionary entries","Entradas de dicionário de elementos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class ElementDictionaryEntry)"
"WMML29","WMLP29","Country","País","Countries","Países","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Country)"
"WMML30","WMLP30","Administrative region","Região administrativa","Administrative regions","Regiões administrativas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class AdministrativeRegion)"
"WMML31","WMLP31","Location","Localidade","Locations","Localidades","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Location)"
"WMML32","WMLP32","Data type","Tipo de dado","Data types","Tipos de dado","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class DataType)"
"WMML33","WMLP33","Quality flag","Sinal de qualidade","Quality flags","Sinais de qualidade","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class QualityFlag)"
"WMML34","WMLP34","Summary","Sumário","Sumaries","Sumários","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Summary)"
"WMML35","WMLP35","System parameter","Parâmetro do sistema","System parameters","Parâmetros do sistema","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class SystemParameter)"
"WMML36","WMLP36","Format","Formato","Formats","Formatos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class Format)"
"WMML37","WMLP37","Feature type","Tipo de atributo","Feature types","Tipos de atributo","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class FeatureType)"
"WMML38","WMLP38","Data feed","Fonte dos dados","Data feed","Fontes dos dados","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","common/models.py (class DataFeed)"
"WMML39","WMLP39","Usina","Usina","Usinas","Usinas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","cemig/models.py (class Usina)"
"WMML40","WMLP40","Reservoir","Reservatório","Reservoirs","Reservatórios","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","cemig/models.py (class Reservatório)"
"WMML41","WMLP41","PowerPlant turbine x Production","Turbina de usina x Produção","PowerPlant turbine x Production","Turbina de usina x Produção","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML42","WMLP42","PowerPlant turbine","Turbina de usina","PowerPlant turbines","Turbinas de usina","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML43","WMLP43","Reservoir component discharge","Operação do componente do reservatório","Reservoir component discharges","Operações do componente do reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML44","WMLP44","Reservoir component discharge reason","Razão da abertura do componente do reservatório","Reservoir component discharge reasons","Razões da abertura do componente do reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML45","WMLP45","Reservoir discharge","Descarga de reservatório","Reservoir discharges","Descargas de reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML46","WMLP46","Reservoir component","Componente de reservatório","Reservoir components","Componentes do Reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML47","WMLP47","Reservoir component type","Tipo de componente do reservatório","Reservoir components","Tipos de componente do reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML48","WMLP48","Reservoir discharge Type","Tipo de descarga do reservatório","Reservoir discharge types","Tipos de descarga do reservatório","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML49","WMLP49","Level x Volume x Area","Nível x Volume x Área","Level x Volume x Area","Nível x Volume x Área","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML50","WMLP50","Assured volume","Volume assegurado","Assured volumes","Volumes assegurados","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML51","WMLP51","Powerplant","Usina","Powerplants","Usinas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","hydro/models.py"
"WMML52","WMLP52","Point","Ponto","Points","Pontos","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML53","WMLP53","Layer x Map","Camada x Mapa","Layers x Maps","Camadas x Mapas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML54","WMLP54","Map","Mapa","Maps","Mapas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML55","WMLP55","ImageWMS layer ","Camada ImageWMS","ImageWMS layers","Camadas ImageWMS","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML56","WMLP56","TileWMS layer","Camada tileWMS","TileWMS layers","Camadas tileWMS","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML57","WMLP57","XYZ layer","Camada XYZ","XYZ layers","Camadas XYZ","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML58","WMLP58","Layer","Camada","Layers","Camadas","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML59","WMLP59","View","Visão","Views","Visões","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML60","WMLP60","Extent x Zoom","Extensão x Zoom","Extents x Zooms","Extensões x Zooms","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML61","WMLP61","Point x Zoom","Ponto x Zoom","Points x Zooms","Pontos x Zooms","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML62","WMLP62","Zoom","Zoom","Zooms","Zooms","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML63","WMLP63","Extent","Extensão","Extents","Extensões","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
"WMML64","WMLP64","Station type","Tipo de estação","Station types","Tipos de estação","verbose_name e verbose_name_plural","Meta","Nome do modelo singular e plural","map/models.py"
